pd_itm_no,pd_itm_no_ma,pd_grp_no,pd_abrv_nm,lseg_key,ter,replication,base_market,base_asset,hedge_type,charge_rt_final,charge_rt_source
KR7292050002,A292050,ETF,RISE KRX300,292050,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7292150000,A292150,ETF,TIGER 코리아TOP10,292150,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7292160009,A292160,ETF,TIGER KRX300,292160,0.07,실물(패시브),국내,주식,환노출,0.07,LSEG
KR7292730009,A292730,ETF,FOCUS KRX300,292730,,,,,,,
KR7292770005,A292770,ETF,KODEX 국채선물3년인버스,292770,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7394350003,A394350,ETF,KIWOOM 글로벌퓨처모빌리티,394350,,,,,,,
KR7395150006,A395150,ETF,KODEX 웹툰&드라마,395150,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7395160005,A395160,ETF,KODEX AI반도체TOP2플러스,395160,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7395170004,A395170,ETF,KODEX Top10동일가중,395170,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7395280001,A395280,ETF,HANARO Fn K-게임,395280,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7395290000,A395290,ETF,HANARO Fn K-POP&미디어,395290,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7395750003,A395750,ETF,PLUS ESG가치주액티브,395750,0.105,실물(액티브),국내,주식,환노출,0.105,LSEG
KR7397420001,A397420,ETF,RISE 국채선물5년추종,397420,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KRG530001160,Q530116,ETN,삼성 인버스 2X 나스닥 100 TR ETN,530116,,,,,,,
KRG530001178,Q530117,ETN,삼성 코스피 200 TR ETN,530117,,,,,,,
KRG530001186,Q530118,ETN,삼성 코스닥 150 TR ETN,530118,,,,,,,
KRG530001228,Q530122,ETN,삼성 인버스 2X 항셍테크 TR ETN(H) B,530122,,,,,,,
KRG530001244,Q530124,ETN,삼성 레버리지 일본니케이225선물 ETN(H),530124,,,,,,,
KRG530001285,Q530128,ETN,삼성 레버리지 미국다우존스 선물 ETN,530128,,,,,,,
KRG530001293,Q530129,ETN,삼성 인버스 2X 미국다우존스 선물 ETN,530129,,,,,,,
KRG530001343,Q530134,ETN,삼성 블룸버그 인버스2X WTI원유선물 ETN B,530134,,,,,,,
KRG530001350,Q530135,ETN,삼성 인버스 China A50 선물 ETN(H) B,530135,,,,,,,
KRG530001376,Q530137,ETN,삼성 KRX 2차전지 TOP10 TR ETN,530137,,,,,,,
KR7300610003,A300610,ETF,TIGER K게임,300610,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR7300950003,A300950,ETF,KODEX 게임산업,300950,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7304780000,A304780,ETF,HANARO 200선물레버리지,304780,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7305540007,A305540,ETF,TIGER 2차전지테마,305540,0.44,실물(패시브),국내,주식,환노출,0.44,LSEG
KR7307520007,A307520,ETF,TIGER 지주회사,307520,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR7315930008,A315930,ETF,KODEX Top5PlusTR,315930,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7325020006,A325020,ETF,KODEX 배당가치,325020,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7404120008,A404120,ETF,TIME K신재생에너지액티브,404120,0.8,실물(액티브),국내,주식,환노출,0.8,LSEG
KR7399580000,A399580,ETF,RISE 글로벌클린에너지,399580,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR7400590006,A400590,ETF,SOL 글로벌탄소배출권선물ICE(합성),400590,0.55,합성(패시브),해외,기타,합성,0.55,LSEG
KR7401170006,A401170,ETF,RISE 메타버스,401170,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7401470000,A401470,ETF,KODEX 메타버스액티브,401470,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7401590005,A401590,ETF,HANARO 글로벌탄소배출권선물ICE(합성),401590,0.5,합성(패시브),해외,기타,합성,0.5,LSEG
KR7402460000,A402460,ETF,HANARO Fn K-메타버스MZ,402460,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7402970008,A402970,ETF,ACE 미국배당다우존스,402970,0.01,실물(패시브),해외,주식,환노출,0.01,LSEG
KRG550000746,Q550074,ETN,N2 블룸버그 2X 천연가스 선물 ETN(H),550074,,,,,,,
KRG530001392,Q530139,ETN,삼성 iSelect 조선 TOP10 TR ETN,530139,,,,,,,
KRG530001459,Q530145,ETN,삼성 레버리지 천연가스 선물 ETN D,530145,,,,,,,
KRG531400676,Q530067,ETN,삼성 KRX 금현물 ETN,530067,,,,,,,
KRG532100168,Q530016,ETN,삼성 미국 대형 가치주 ETN(H),530016,,,,,,,
KRG532400550,Q530055,ETN,삼성 레버리지 금 선물 ETN(H),530055,,,,,,,
KRG550000621,Q550062,ETN,N2 레버리지 금 선물 ETN(H),550062,,,,,,,
KRG550000647,Q550064,ETN,N2 레버리지 은 선물 ETN(H),550064,,,,,,,
KRG550000654,Q550065,ETN,N2 인버스 레버리지 은 선물 ETN(H),550065,,,,,,,
KRG550000704,Q550070,ETN,N2 인버스 레버리지 구리 선물 ETN(H),550070,,,,,,,
KRG550000712,Q550071,ETN,N2 블룸버그 2X WTI원유선물 ETN,550071,,,,,,,
KRG550000738,Q550073,ETN,N2 iSelect-WG 그린에너지 ESG ETN,550073,,,,,,,
KR7329670004,A329670,ETF,KODEX TRF7030,329670,0.1,실물(패시브),국내&해외,혼합자산,환노출,0.1,LSEG
KR7332500008,A332500,ETF,ACE 200TR,332500,0.01,실물(패시브),국내,주식,환노출,0.01,LSEG
KR7332930007,A332930,ETF,HANARO 200TR,332930,0.07,실물(패시브),국내,주식,환노출,0.07,LSEG
KR7337140008,A337140,ETF,KODEX 코스피대형주,337140,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7341850006,A341850,ETF,TIGER 리츠부동산인프라채권,341850,0.22,실물(패시브),국내,혼합자산,환노출,0.22,LSEG
KR7346000003,A346000,ETF,HANARO KAP초장기국고채,346000,,,,,,,
KR7354240004,A354240,ETF,RISE 미국고정배당우선증권,354240,0.5,실물(패시브),해외,혼합자산,환노출,0.5,LSEG
KRG550000852,Q550085,ETN,N2 코스닥 150 TR ETN,550085,,,,,,,
KR7407310002,A407310,ETF,HANARO 200 TOP10,407310,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7407820000,A407820,ETF,에셋플러스 코리아플랫폼액티브,407820,0.975,실물(액티브),국내,주식,환노출,0.975,LSEG
KR7407830009,A407830,ETF,에셋플러스 글로벌플랫폼액티브,407830,0.99,실물(액티브),해외,주식,환노출,0.99,LSEG
KR7409820008,A409820,ETF,KODEX 미국나스닥100레버리지(합성 H),409820,0.3,합성(패시브),해외,주식,환노출,0.3,LSEG
KR7418670006,A418670,ETF,TIGER 글로벌AI사이버보안,418670,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7419890009,A419890,ETF,KIWOOM 단기채권ESG액티브,419890,0.15,실물(액티브),국내,채권,환노출,0.15,LSEG
KR7423160001,A423160,ETF,KODEX KOFR금리액티브(합성),423160,0.05,합성(액티브),국내,기타,합성,0.05,LSEG
KRG550000878,Q550087,ETN,N2 선진국 1등주 ETN,550087,,,,,,,
KR7354350001,A354350,ETF,HANARO 글로벌럭셔리S&P(합성),354350,0.5,합성(패시브),해외,주식,합성,0.5,LSEG
KR7360140008,A360140,ETF,KODEX 200롱코스닥150숏선물,360140,0.64,실물(패시브),국내,주식,환노출,0.64,LSEG
KR7360200000,A360200,ETF,ACE 미국S&P500,360200,0.004,실물(패시브),해외,주식,환노출,0.004,LSEG
KR7363580002,A363580,ETF,KODEX 200IT TR,363580,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7365000009,A365000,ETF,TIGER 인터넷TOP10,365000,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7368590006,A368590,ETF,RISE 미국나스닥100,368590,0.006,실물(패시브),해외,주식,환노출,0.006,LSEG
KR7371160003,A371160,ETF,TIGER 차이나항셍테크,371160,0.09,실물(패시브),해외,주식,환노출,0.09,LSEG
KR7373530005,A373530,ETF,PLUS 신흥국MSCI인버스(합성 H),373530,,,,,,,
KR7426020004,A426020,ETF,TIME 미국S&P500액티브,426020,0.8,실물(액티브),해외,주식,환노출,0.8,LSEG
KR7426410007,A426410,ETF,PLUS 미국대체투자Top10,426410,,,,,,,
KR7429010002,A429010,ETF,TIGER 미국나스닥넥스트100,429010,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7429760002,A429760,ETF,PLUS 미국S&P500,429760,0.07,실물(패시브),해외,주식,환노출,0.07,LSEG
KR7429990005,A429990,ETF,SOL 한국형글로벌플랫폼&메타버스액티브,429990,,,,,,,
KR7432850006,A432850,ETF,HANARO 글로벌백신치료제MSCI,432850,,,,,,,
KR7439860008,A439860,ETF,KODEX ESG종합채권(A-이상)액티브,439860,0.07,실물(액티브),국내,채권,환노출,0.07,LSEG
KR7439870007,A439870,ETF,KODEX 국고채30년액티브,439870,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7440340008,A440340,ETF,TIGER 글로벌멀티에셋TIF액티브,440340,0.55,실물(액티브),해외,혼합자산,환노출,0.55,LSEG
KRG550000886,Q550088,ETN,N2 월간 레버리지 선진국 1등주 ETN,550088,,,,,,,
KRG550000902,Q550090,ETN,N2 월간 레버리지 코스닥 150 선물 ETN,550090,,,,,,,
KRG550000977,Q550097,ETN,N2 레버리지 코스닥150 선물 ETN,550097,,,,,,,
KRG551800573,Q550057,ETN,N2 코스피 변동성 매칭형 양매도 ETN,550057,,,,,,,
KRG552100452,Q550045,ETN,N2 인버스 레버리지 S&P500 ETN,550045,,,,,,,
KRG570000536,Q570053,ETN,한투 인버스 플래티넘 선물 ETN,570053,,,,,,,
KRG570000544,Q570054,ETN,한투 레버리지 유로스탁스50 ETN(H) B,570054,,,,,,,
KRG570000593,Q570059,ETN,한투 레버리지금선물 ETN,570059,,,,,,,
KRG570000627,Q570062,ETN,한투 인버스 2X 은 선물 ETN,570062,,,,,,,
KRG570000775,Q570077,ETN,한투 블룸버그 WTI원유 선물 ETN,570077,,,,,,,
KRG570000783,Q570078,ETN,한투 블룸버그 레버리지 WTI원유 선물 ETN,570078,,,,,,,
KRG570000890,Q570089,ETN,한투 인버스 0.5X S&P500 VIX S/T 선물 ETN,570089,,,,,,,
KR7377990007,A377990,ETF,TIGER Fn신재생에너지,377990,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR7379810005,A379810,ETF,KODEX 미국나스닥100,379810,0.006,실물(패시브),해외,주식,환노출,0.006,LSEG
KR7385520002,A385520,ETF,KODEX 자율주행액티브,385520,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7385560008,A385560,ETF,RISE KIS국고채30년Enhanced,385560,0.05,실물(패시브),국내,채권,환노출,0.05,LSEG
KR7385710009,A385710,ETF,TIME K이노베이션액티브,385710,0.8,실물(액티브),국내,주식,환노출,0.8,LSEG
KR7385720008,A385720,ETF,TIME 코스피액티브,385720,0.8,실물(액티브),국내,주식,환노출,0.8,LSEG
KR7396510000,A396510,ETF,TIGER 차이나클린에너지SOLACTIVE,396510,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7397410002,A397410,ETF,RISE 국채선물5년추종인버스,397410,,,,,,,
KR7440910008,A440910,ETF,WON 미국우주항공방산,440910,0.35,실물(패시브),해외,주식,환노출,0.35,LSEG
KR7441330008,A441330,ETF,KIWOOM 차이나A50커넥트MSCI,441330,,,,,,,
KR7442090007,A442090,ETF,에셋플러스 코리아대장장이액티브,442090,0.975,실물(액티브),국내,주식,환노출,0.975,LSEG
KR7442560009,A442560,ETF,RISE TDF2040액티브 적격,442560,0.01,실물(액티브),국내&해외,기타,환노출,0.01,LSEG
KR7445690001,A445690,ETF,BNK 주주가치액티브,445690,0.495,실물(액티브),국내,주식,환노출,0.495,LSEG
KR7445910003,A445910,ETF,TIGER MKF배당귀족,445910,0.2,실물(패시브),국내,주식,환노출,0.2,LSEG
KR7446720005,A446720,ETF,SOL 미국배당다우존스,446720,0.01,실물(패시브),해외,주식,환노출,0.01,LSEG
KR7422260000,A422260,ETF,VITA MZ소비액티브,422260,0.6,실물(액티브),국내,주식,환노출,0.6,LSEG
KR7407160001,A407160,ETF,KCGI 테크미디어텔레콤액티브,407160,,,,,,,
KR7410870000,A410870,ETF,TIME K컬처액티브,410870,0.8,실물(액티브),국내,주식,환노출,0.8,LSEG
KR7411050008,A411050,ETF,ACE 글로벌메타버스테크액티브,411050,,,,,,,
KR7411060007,A411060,ETF,ACE KRX금현물,411060,0.19,실물(패시브),국내,원자재,환노출,0.19,LSEG
KR7414270009,A414270,ETF,ACE 글로벌자율주행액티브,414270,0.29,실물(액티브),해외,주식,환노출,0.29,LSEG
KR7415340009,A415340,ETF,KODEX 차이나과창판STAR50(합성),415340,0.09,합성(패시브),해외,주식,합성,0.09,LSEG
KR7415760008,A415760,ETF,SOL 차이나육성산업액티브(합성),415760,0.55,합성(액티브),해외,주식,합성,0.55,LSEG
KR7418660007,A418660,ETF,TIGER 미국나스닥100레버리지(합성),418660,0.25,합성(패시브),해외,주식,합성,0.25,LSEG
KRG570001021,Q570102,ETN,한투 레버리지나스닥100 ETN B,570102,,,,,,,
KRG570001070,Q570107,ETN,한투 인버스2X일본니케이225선물 ETN(H),570107,,,,,,,
KRG570001161,Q570116,ETN,한투 레버리지WTI원유선물 ETN B,570116,,,,,,,
KRG570001211,Q570121,ETN,한투 금선물 ETN,570121,,,,,,,
KRG570001245,Q570124,ETN,한투 인버스은선물 ETN,570124,,,,,,,
KRG571100293,Q570029,ETN,한투 코스피양매도3%OTM ETN,570029,,,,,,,
KRG580000260,Q580026,ETN,KB S&P 레버리지 은 선물 ETN(H),580026,,,,,,,
KRG580000336,Q580033,ETN,KB 인버스 2X 구리 선물 ETN(H),580033,,,,,,,
KRG580000369,Q580036,ETN,KB S&P 레버리지 WTI원유 선물 ETN(H),580036,,,,,,,
KRG580000393,Q580039,ETN,KB 레버리지 KOSPI 200 선물 ETN,580039,,,,,,,
KR7446770000,A446770,ETF,ACE 글로벌반도체TOP4 Plus,446770,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7447430000,A447430,ETF,ACE 주주환원가치주액티브,447430,0.7,실물(액티브),국내,주식,환노출,0.7,LSEG
KR7448100008,A448100,ETF,WON 200,448100,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7448330001,A448330,ETF,KODEX 삼성전자채권혼합,448330,0.07,실물(패시브),국내,혼합자산,환노출,0.07,LSEG
KR7449190008,A449190,ETF,KODEX 미국나스닥100(H),449190,0.009,실물(패시브),해외,주식,환헤지,0.009,LSEG
KR7449690007,A449690,ETF,TIGER 한중반도체(합성),449690,0.35,합성(패시브),국내&해외,주식,합성,0.35,LSEG
KR7449780006,A449780,ETF,KIWOOM 미국S&P500(H),449780,0.04,실물(패시브),해외,주식,환헤지,0.04,LSEG
KR7450120001,A450120,ETF,KIWOOM SK그룹대표주,450120,,,,,,,
KR7423170000,A423170,ETF,SOL 글로벌AI반도체탑픽액티브,423170,0.55,실물(액티브),국내&해외,주식,환노출,0.55,LSEG
KR7426030003,A426030,ETF,TIME 미국나스닥100액티브,426030,0.8,실물(액티브),해외,주식,환노출,0.8,LSEG
KR7429870009,A429870,ETF,KIWOOM 리츠이지스액티브,429870,,,,,,,
KR7429980006,A429980,ETF,SOL 한국형글로벌전기차&2차전지액티브,429980,0.55,실물(액티브),국내&해외,주식,환노출,0.55,LSEG
KR7430500009,A430500,ETF,KIWOOM 물가채KIS,430500,0.15,실물(패시브),국내,채권,환노출,0.15,LSEG
KR7433500006,A433500,ETF,ACE 원자력TOP10,433500,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7433870003,A433870,ETF,PLUS TDF2050액티브,433870,,,,,,,
KR7433880002,A433880,ETF,PLUS TDF2060액티브 적격,433880,0.2,실물(액티브),국내&해외,혼합자산,환노출,0.2,LSEG
KR7450180005,A450180,ETF,KODEX 한중전기차(합성),450180,0.25,합성(패시브),국내&해외,주식,합성,0.25,LSEG
KR7451000004,A451000,ETF,PLUS 종합채권(AA-이상)액티브,451000,0.045,실물(액티브),국내,채권,환노출,0.045,LSEG
KR7451060008,A451060,ETF,1Q 200액티브,451060,0.01,실물(액티브),국내,주식,환노출,0.01,LSEG
KR7451150007,A451150,ETF,에셋플러스 글로벌영에이지액티브,451150,0.99,실물(액티브),해외,주식,환노출,0.99,LSEG
KR7453330003,A453330,ETF,RISE 미국S&P500(H),453330,0.004,실물(패시브),해외,주식,환헤지,0.004,LSEG
KR7453640005,A453640,ETF,KODEX 미국S&P500헬스케어,453640,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7453660003,A453660,ETF,KODEX 미국S&P500경기소비재,453660,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KRG610000371,Q610037,ETN,메리츠 미국채30년 ETN(H),610037,,,,,,,
KRG580000526,Q580052,ETN,KB 인버스 2X 밀 선물 ETN,580052,,,,,,,
KRG580000583,Q580058,ETN,KB KIS CD금리투자 ETN,580058,,,,,,,
KRG580000609,Q580060,ETN,KB 레버리지 미국채 10년 ETN,580060,,,,,,,
KRG580000617,Q580061,ETN,KB 미국채 30년 ETN,580061,,,,,,,
KRG580000682,Q580068,ETN,KB S&P 레버리지 WTI원유 선물 ETN B,580068,,,,,,,
KRG580000690,Q580069,ETN,KB S&P 인버스 2X WTI원유 선물 ETN B,580069,,,,,,,
KRG580000757,Q580075,ETN,KB 레버리지 BYD 밸류체인 ETN,580075,,,,,,,
KRG580000864,Q580086,ETN,KB 솔랙티브 레버리지 천연가스 선물 ETN,580086,,,,,,,
KRG580000872,Q580087,ETN,KB 솔랙티브 인버스 천연가스 선물 ETN,580087,,,,,,,
KRG610000090,Q610009,ETN,메리츠 인버스 국채30년 ETN,610009,,,,,,,
KR7434060000,A434060,ETF,KODEX TDF2050액티브 적격,434060,0.3,실물(액티브),국내&해외,혼합자산,환노출,0.3,LSEG
KR7434730008,A434730,ETF,HANARO 원자력iSelect,434730,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7434960001,A434960,ETF,DAISHIN K200,434960,0.1,실물(패시브),국내,주식,환노출,0.1,LSEG
KR7435420005,A435420,ETF,TIGER 미국나스닥100채권혼합50,435420,0.25,실물(패시브),국내&해외,혼합자산,환노출,0.25,LSEG
KR7437550007,A437550,ETF,KIWOOM 글로벌리츠이지스액티브,437550,,,,,,,
KR7438320004,A438320,ETF,TIGER 차이나항셍테크레버리지(합성 H),438320,0.58,합성(패시브),해외,주식,환노출,0.58,LSEG
KR7440650000,A440650,ETF,ACE 미국달러단기채권액티브,440650,0.3,실물(액티브),해외,채권,환노출,0.3,LSEG
KR7442320008,A442320,ETF,RISE 글로벌원자력,442320,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR7453850000,A453850,ETF,ACE 미국30년국채액티브(H),453850,0.05,실물(액티브),해외,채권,환헤지,0.05,LSEG
KR7455030007,A455030,ETF,KODEX 미국달러SOFR금리액티브(합성),455030,0.15,합성(액티브),해외,기타,합성,0.15,LSEG
KR7456200005,A456200,ETF,PLUS 미국달러SOFR금리액티브(합성),456200,0.09,합성(액티브),해외,기타,합성,0.09,LSEG
KR7456610005,A456610,ETF,TIGER 미국달러SOFR금리액티브(합성),456610,0.05,합성(액티브),해외,기타,합성,0.05,LSEG
KR7456680008,A456680,ETF,TIGER 차이나전기차레버리지(합성),456680,0.58,합성(패시브),해외,주식,합성,0.58,LSEG
KR7458030004,A458030,ETF,WON 국공채머니마켓액티브,458030,0.065,실물(액티브),국내,채권,환노출,0.065,LSEG
KR7458260007,A458260,ETF,TIGER 미국투자등급회사채액티브(H),458260,0.14,실물(액티브),해외,채권,환헤지,0.14,LSEG
KR7458750007,A458750,ETF,TIGER 미국배당다우존스타겟커버드콜1호,458750,0.39,실물(패시브),해외,주식,환노출,0.39,LSEG
KR7458760006,A458760,ETF,TIGER 미국배당다우존스타겟커버드콜2호,458760,0.39,실물(패시브),해외,주식,환노출,0.39,LSEG
KR7459370003,A459370,ETF,SOL 유럽탄소배출권선물인버스ICE(H),459370,,,,,,,
KR7459580007,A459580,ETF,KODEX CD금리액티브(합성),459580,0.02,합성(액티브),국내,기타,합성,0.02,LSEG
KR7461460008,A461460,ETF,PLUS 국고채10년액티브,461460,0.045,실물(액티브),국내,채권,환노출,0.045,LSEG
KR7461600009,A461600,ETF,SOL 미국30년국채액티브(H),461600,0.05,실물(액티브),해외,채권,환헤지,0.05,LSEG
KR7461950008,A461950,ETF,KODEX 2차전지핵심소재10,461950,0.39,실물(패시브),국내,주식,환노출,0.39,LSEG
KR7442550000,A442550,ETF,RISE TDF2030액티브 적격,442550,0.01,실물(액티브),국내&해외,기타,환노출,0.01,LSEG
KR7442570008,A442570,ETF,RISE TDF2050액티브 적격,442570,0.01,실물(액티브),국내&해외,기타,환노출,0.01,LSEG
KR7447770009,A447770,ETF,TIGER 테슬라채권혼합Fn,447770,0.25,실물(패시브),국내&해외,혼합자산,환노출,0.25,LSEG
KR7448300004,A448300,ETF,TIGER 미국나스닥100(H),448300,0.006,실물(패시브),해외,주식,환헤지,0.006,LSEG
KR7448510008,A448510,ETF,HANARO 글로벌신재생에너지MSCI(합성),448510,,,,,,,
KR7448630004,A448630,ETF,RISE 삼성그룹Top3채권혼합,448630,0.2,실물(패시브),국내,혼합자산,환노출,0.2,LSEG
